OMBControlNumber,ICRReferenceNumber,REQUEST_TYPE_ABBR,ParentAgencyCode,ParentAgencyAcronym,ParentAgencyName,AgencyCode,AgencyAcronym,AgencyName,ICRTitle,ICTitle,CommonFormFlag,ConcludedDate,ExpirationDate,Abstract,documentType,OtherType,FormNumber,FormName,OriginalFileName,URL,AvailableElectronically,CanSubmittedElectronically,ElectronicCapability,LineOfBusiness,Subfunction,PublicCode
1615-0022,201107-1615-006,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request to Enforce Affidavit of Financial Support and Intent to Petition for Custody for Pub. L. 97-359 Amerasian,Request to Enforce Affidavit of Financial Support and Intent to Petition for Custody for Pub. L. 97-359 Amerasian,No,9/15/11,9/30/12,"This form will be used to determine whether an affidavit of financial support and intent to petition for legal custody, Form I-363, requires enforcement.",Form, ,I-363,Request to Enforce Affidavit of Financial Support and Intent to Petition for Custody for P. L. 97-359 Amerasian,i-363.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0022,201107-1615-006,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Request to Enforce Affidavit of Financial Support and Intent to Petition for Custody for Pub. L. 97-359 Amerasian,Request to Enforce Affidavit of Financial Support and Intent to Petition for Custody for Pub. L. 97-359 Amerasian,No,9/15/11,9/30/12,"This form will be used to determine whether an affidavit of financial support and intent to petition for legal custody, Form I-363, requires enforcement.",Instruction, , , ,i-363instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0023,201011-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Register Permanent Residence or Adjust Status,Application to Register Permanent Residence or Adjust Status,No,1/18/11,1/31/13,"The information on Form I-485 will be used to request and determine eligibility for adjustment of permanent residence status.  Supplement A is used to adjust status under section 245(i) of the Immigration and Nationality Act (Act). Supplement E  provides evidentiary requirements for T and U applicants to submit to adjust status.
    ",Form, ,Form I-485,Application to Register Permanent Residence or Adjust Status,Final I-485 form_FR2010_112310.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0023,201011-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Register Permanent Residence or Adjust Status,Application to Register Permanent Residence or Adjust Status,No,1/18/11,1/31/13,"The information on Form I-485 will be used to request and determine eligibility for adjustment of permanent residence status.  Supplement A is used to adjust status under section 245(i) of the Immigration and Nationality Act (Act). Supplement E  provides evidentiary requirements for T and U applicants to submit to adjust status.
    ",Form, ,I-485 Supplement A,Adjustment of Status Under Section 245(i),Form I-485 Supp A.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0023,201011-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Register Permanent Residence or Adjust Status,Application to Register Permanent Residence or Adjust Status,No,1/18/11,1/31/13,"The information on Form I-485 will be used to request and determine eligibility for adjustment of permanent residence status.  Supplement A is used to adjust status under section 245(i) of the Immigration and Nationality Act (Act). Supplement E  provides evidentiary requirements for T and U applicants to submit to adjust status.
    ",Instruction, , , ,I-485_Inst_FR2010_11-19-10.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0023,201011-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Register Permanent Residence or Adjust Status,Application to Register Permanent Residence or Adjust Status,No,1/18/11,1/31/13,"The information on Form I-485 will be used to request and determine eligibility for adjustment of permanent residence status.  Supplement A is used to adjust status under section 245(i) of the Immigration and Nationality Act (Act). Supplement E  provides evidentiary requirements for T and U applicants to submit to adjust status.
    ",Instruction, , , ,Form I-485 Supp E.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0023,201011-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Application to Register Permanent Residence or Adjust Status,Application to Register Permanent Residence or Adjust Status,No,1/18/11,1/31/13,"The information on Form I-485 will be used to request and determine eligibility for adjustment of permanent residence status.  Supplement A is used to adjust status under section 245(i) of the Immigration and Nationality Act (Act). Supplement E  provides evidentiary requirements for T and U applicants to submit to adjust status.
    ",Instruction, , , ,Form I-485 Supp A Instructions.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0024,201106-1615-007,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,HRIFA Supplement to Form I-485 Instructions,HRIFA Supplement to Form I-485 Instructions,No,9/15/11,9/30/12,"The information collection on this application used to determine whether an alien applying for adjustment of status under the provisions of section 902 of Division A, Title IX of Public Law 105-277 is eligible to become a permanent resident of the United States.      ",Instruction, , , ,I-485 Supplement C - Instructions.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0025,201108-1615-009,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,"Waiver of Rights, Privileges, Exemptions and Immunities","Waiver of Rights, Privileges, Exemptions and Immunities",No,1/12/12,1/31/15,This information will be used by the USCIS to determine eligibility of an alien applicant to retain the status of alien lawfully admitted to the United States for permanent residence.       ,Form and Instruction, ,I-508,"Waiver of Rights, Privileges, Exemptions and Immunities",I-508 Revised 05-31-2011_updated 12-12-11.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0025,201108-1615-009,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,"Waiver of Rights, Privileges, Exemptions and Immunities","Waiver of Rights, Privileges, Exemptions and Immunities",No,1/12/12,1/31/15,This information will be used by the USCIS to determine eligibility of an alien applicant to retain the status of alien lawfully admitted to the United States for permanent residence.       ,Form, ,I-508F,"Waiver of Rights, Privileges, Exemptions and Immunities",i-508f.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0026,201201-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Immigrant Petition by Alien Entrepreneur,Immigrant Petition by Alien Entrepreneur,No,5/10/12,5/31/13,The form is used to petition for classification as an alien entrepreneur as provided by sections 121(b) and 162(b) of the Immigration Act of 1990.  The data collected on this form will be used by USCIS to determine eligibility for the requested immigration benefit.     ,Form, ,I-526,Immigrant Petition by Alien Entrepreneur,i-526.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0026,201201-1615-002,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Immigrant Petition by Alien Entrepreneur,Immigrant Petition by Alien Entrepreneur,No,5/10/12,5/31/13,The form is used to petition for classification as an alien entrepreneur as provided by sections 121(b) and 162(b) of the Immigration Act of 1990.  The data collected on this form will be used by USCIS to determine eligibility for the requested immigration benefit.     ,Instruction, , , ,i-526instr.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0027,201112-1615-007,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,"Inter-Agency Record of Request - A, G or NATO Dependent Employment Authorization or Change/Adjustment To/From A, G, NATO Status","Inter-Agency Record of Individual Requesting Change/Adjustment to or From A or G Status; or Requesting A, G. or NATO Dependent Employment Authorization",No,3/9/12,3/31/13,"This form facilitates processing of applications for benefits filed by dependents of diplomats, international organizations, and NATO personnel by the DHS, DOS, DOD, and NATO/HQ SACT.        ",Form, ,I-566,"Inter-Agency Record of Individual Requesting Change/Adjustment to or From A or G Status; or Requesting A, G. or NATO Dependent Employment Authorization",I566-FRM-OMBReview-01102012.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0027,201112-1615-007,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,"Inter-Agency Record of Request - A, G or NATO Dependent Employment Authorization or Change/Adjustment To/From A, G, NATO Status","Inter-Agency Record of Individual Requesting Change/Adjustment to or From A or G Status; or Requesting A, G. or NATO Dependent Employment Authorization",No,3/9/12,3/31/13,"This form facilitates processing of applications for benefits filed by dependents of diplomats, international organizations, and NATO personnel by the DHS, DOS, DOD, and NATO/HQ SACT.        ",Instruction, , , ,I566-INS-OMBReview-01102012.pdf, ,Yes,No,Printable Only,Homeland Security,Border and Transportation Security,Individuals or Households
1615-0028,201010-1615-008,ICR Ext,1600,DHS,Department of Homeland Security,1615,USCIS,U.S. Citizenship and Immigration Services,Petition to Classify Orphan as an Immediate Relative and Application for Advance Processing of Orphan Petition,Petition to Classify Orphan as an Immediate Relative and Application for Advance Processing of Orphan Petition,No,1/12/11,1/31/13,The USCIS uses this information to determine immigrant eligibility for advance processing.         ,Form, ,I-600,Petition to Classify Orphan as an Immediate Relative,I-600 Form FR2010.pdf, ,Yes,No,Fillable Printable,Homeland Security,Border and Transportation Security,Individuals or Households
